customer_id,name,gender,age,email,phone,address,city,state,zipcode,registration_date,total_purchases,product_id,Metal_Type,payment_method,payment_amount,discount_applied,tax_amount,total_amount
14,Paul Roberts,Female,33,epetersen@example.com,+1-993-600-2489x451,"USNV Barton
FPO AA 50790",East Danielleberg,Kansas,38130,6/7/2022,5,8,Gold,Debit Card,3690.72,483.27,369.07,3576.52
15,Karen Thomas,Female,69,nunezedward@example.com,(409)776-7017x20099,"67109 Mendez Junction Apt. 942
Lloydville, NC 25290",Port Philipstad,Wisconsin,25467,6/20/2023,4,46,Platinum,Credit Card,1588.28,365.48,158.83,1381.63
16,Angela Williams,Female,20,tuckerrachel@example.net,+1-899-333-1886x84126,"USCGC Brown
FPO AA 20968",Port Seanchester,Alaska,65594,5/9/2022,5,93,Gold,Credit Card,2306.79,448.16,230.68,2089.31
17,Harold Martinez,Female,40,reedgregory@example.org,(519)423-0310x450,"5420 Michael Mountains
Kennethside, SC 43359",New Victoria,Connecticut,70392,7/13/2024,4,40,Bronze,Credit Card,1401.6,349.19,140.16,1192.57
18,Steven Bautista,Female,61,lesliesanchez@example.org,856-402-9061x1264,"513 Chen Route Apt. 660
Haydenmouth, NV 27238",Kellyfort,Colorado,24809,7/7/2020,5,36,Gold,Debit Card,3824.86,586.17,382.49,3621.18
10,Ariel Nash,Male,57,bburton@example.com,514.628.5124x000,"097 Bowman Landing Apt. 369
Alanberg, KY 44201",Kristineland,Michigan,81836,11/23/2019,3,15,Silver,Credit Card,2851.89,330.5,285.19,2806.58
20,Melissa Flynn,Male,55,lhebert@example.com,(923)975-8257x17340,"48926 Davis Parks Apt. 864
North Josephton, AL 34130",Foxshire,Virginia,52436,5/17/2023,5,14,Gold,Debit Card,4585.99,1054.28,458.6,3990.31
21,Heather Savage,Female,65,caitlinjohnson@example.com,585-318-3216x4482,"447 Carroll Dam Apt. 116
Garzaberg, OH 88090",Michaelfort,West Virginia,54909,6/12/2021,1,62,Bronze,Debit Card,4763.92,584.24,476.39,4656.07
22,Jonathan Vasquez DVM,Female,38,vevans@example.com,3933057608,"50190 Marks Squares Suite 329
Jameschester, NH 94393",Patrickmouth,Nebraska,85436,4/18/2023,4,19,Platinum,Creadit Card,4937.98,247.9,493.8,5183.88
23,Michael Warren,Male,54,jasonlopez@example.com,(367)463-3739x0603,"94918 Wise Knoll
Ellishaven, TN 85502",Carpenterfort,Kentucky,92790,8/21/2023,1,28,Platinum,Debit Card,1739.66,90.22,173.97,1823.41
24,Andrew Williams,Female,60,adam02@example.org,(739)968-3735x91915,"PSC 4080, Box 3513
APO AP 45818",Port James,Utah,96055,2/26/2022,3,40,Silver,Credit Card,2766.94,372.92,276.69,2670.71
9,Patricia Fletcher,Female,66,seangreen@example.org,887.589.0075x470,"206 Stewart Forest
Lake Karenhaven, RI 13317",North Charlene,Illinois,40139,12/21/2021,5,67,Silver,Credit Card,3311.37,269.81,331.14,3372.7
26,Dawn Cooper,Male,50,bradleyvilla@example.org,3773706777,"63791 Hansen Village
Williamsburgh, IA 64728",East Mary,Louisiana,46651,4/23/2022,5,56,Platinum,Creadit Card,1365.5,146.1,136.55,1355.95
27,Steven Bishop,Female,67,jenniferwaters@example.net,+1-578-544-3019x126,"886 David Rue
Davidshire, MI 30590",Jeffreybury,California,68416,3/17/2022,3,87,Gold,PayPal,4950.95,435.67,495.1,5010.38
28,Jake Castillo,Female,68,derricksmith@example.net,559-502-6228x12379,"5992 Lester Coves
New Caitlinfort, NH 40962",East Angelaburgh,Texas,65342,9/7/2023,2,70,Bronze,Debit Card,3934.01,748.56,393.4,3578.85
29,Ryan Green,Female,41,uwarner@example.com,(203)705-3573x4524,"250 Burton Burg
North Alexander, SD 43318",Port Bryanchester,Florida,28881,5/30/2023,4,56,Bronze,Creadit Card,3201.49,671.34,320.15,2850.3
30,Eric Banks,Male,19,areyes@example.com,-2357,"53230 Julia Villages
Lake Christian, VI 78866",New Courtneyberg,South Carolina,79402,12/7/2019,3,33,Silver,Debit Card,3172.99,557.06,317.3,2933.23
20,Melissa Flynn,Male,55,lhebert@example.com,(923)975-8257x17340,"48926 Davis Parks Apt. 864
North Josephton, AL 34130",Foxshire,Virginia,52436,5/17/2023,1,44,Silver,Debit Card,1408.64,336.65,140.86,1212.85
32,Morgan Johnson,Female,22,crawfordmichael@example.net,(973)885-2654,"708 Villa Camp Suite 616
Tylertown, KY 97488",West Erinshire,Vermont,38482,5/9/2021,5,98,Platinum,Debit Card,3732.98,522.36,373.3,3583.92
33,Gina Good,Male,30,jason95@example.org,001-485-722-5090,"7696 Aaron Divide Apt. 725
Lake Timothyview, WA 80744",North Ana,Nevada,37031,1/26/2021,2,68,Platinum,Credit Card,4643.53,821.67,464.35,4286.21
34,Matthew Moore,Female,34,davidcrystal@example.net,+1-766-744-4064x488,"08296 Marshall Camp Suite 930
Allisonburgh, TX 25995",Courtneyfort,Alaska,96304,9/17/2021,4,74,Gold,PayPal,498.61,27.94,49.86,520.53
35,Denise Duffy,Male,66,cmiller@example.org,001-778-713-2716x6446,"0436 Graham Roads
Terryton, OR 61490",Mariaberg,Oregon,93626,12/16/2021,3,42,Silver,Creadit Card,1963.79,402.75,196.38,1757.42
36,Jennifer Mccall,Female,62,bobknight@example.com,(401)631-8705x056,"264 Frank Dale
Thorntonton, VA 68607",Port Angelafurt,Idaho,45681,7/29/2024,1,11,Platinum,PayPal,4157.77,313.34,415.78,4260.21
37,Christopher Baker,Female,38,mark44@example.net,527.982.0928x051,"252 Ingram Centers Apt. 850
North Ronaldstad, OK 59690",Marthahaven,Mississippi,83937,8/8/2020,1,18,Platinum,Creadit Card,4608.56,355.17,460.86,4714.25
38,Alexander Gross,Male,54,morgancathy@example.org,(604)660-9251x60759,"2074 Stacy Circles Suite 110
Andrewfurt, RI 91015",West Stephenside,West Virginia,91576,10/24/2023,3,61,Gold,Credit Card,393.4,76.11,39.34,356.63
37,Christopher Baker,Female,38,mark44@example.net,527.982.0928x051,"252 Ingram Centers Apt. 850
North Ronaldstad, OK 59690",Marthahaven,Mississippi,83937,8/8/2020,1,11,Gold,Credit Card,1608.27,371.6,160.83,1397.5
40,Kimberly Morales,Female,44,anthony81@example.org,451-470-2840x06528,"395 Timothy Road
Williamsbury, SC 37407",Georgebury,Minnesota,30128,12/25/2020,2,54,Silver,Creadit Card,4339.71,660.93,433.97,4112.75
41,Shawn Taylor,Male,26,martinbrandy@example.net,(422)400-5800x0199,"66953 Michael Forge Suite 126
Tammychester, MH 57653",South Patrick,Montana,31965,9/7/2023,2,51,Platinum,Credit Card,3662.55,563.75,366.26,3465.06
42,Andrea King,Female,29,nicole58@example.org,+1-497-834-0956x180,"661 Munoz Estates Apt. 576
New Samantha, VI 37687",West Michaelstad,Wyoming,62455,1/2/2024,3,97,Bronze,Credit Card,2820.99,599.91,282.1,2503.18
43,Shawn Scott,Male,69,kenneth04@example.net,(806)846-3522x19520,"8822 Jared Forks
New Derekfort, MI 82204",Jennifermouth,Utah,16030,1/26/2023,3,99,Gold,PayPal,3922.53,602.06,392.25,3712.72
44,Stephanie Peterson,Female,27,amanda26@example.net,001-484-436-5678x4661,"399 Joseph Street
South Christopher, AZ 01875",West Lisafort,Massachusetts,14675,6/11/2023,4,48,Silver,Credit Card,3181.09,271.64,318.11,3227.56
45,Dawn Tucker,Male,66,sandrahoffman@example.org,001-482-802-8693x76409,"061 Cook Parkways Suite 079
West Marissafort, OH 85040",Kennedyburgh,Iowa,71411,9/9/2022,3,21,Bronze,Debit Card,3259.58,460.61,325.96,3124.93
46,Lee Rangel,Male,69,ejones@example.com,(496)281-4731x4251,"830 Michelle Point
Kleinville, NJ 73841",Nancymouth,Connecticut,90382,8/20/2019,4,31,Silver,PayPal,4567.71,351.6,456.77,4672.88
47,Ryan Collins,Male,52,albertkelly@example.net,711-649-6356x23437,"65873 Chen Knolls
Ramirezfurt, WI 94134",Michellefort,Maine,16311,5/21/2023,1,20,Gold,Credit Card,4074.16,268.88,407.42,4212.7
48,David Lopez,Female,56,victor16@example.com,287.399.3684x735,"60906 Joseph Stream Suite 212
Anthonyton, AL 50658",East Darrenborough,Colorado,97633,7/23/2023,3,26,Platinum,PayPal,4175.87,636.74,417.59,3956.72
49,Kelly Howell,Male,26,ljones@example.org,666.270.6360,"7298 Johnathan Cove Apt. 402
South Jamie, TN 42383",South William,Delaware,73848,6/27/2020,3,89,Bronze,Debit Card,3682.08,198.24,368.21,3852.05
50,Belinda Barry,Male,20,jwhite@example.com,(964)561-9853,"70867 Ruben Glen Suite 723
Campbellfort, PA 20005",East Kevinhaven,South Dakota,88733,8/20/2020,4,8,Bronze,PayPal,3993.99,927.94,399.4,3465.45
51,Andrew Berg,Male,40,katiemcdonald@example.net,567.732.6058,"97939 Johnson Oval Suite 830
North Dennismouth, VI 88870",Lake Gabrielle,Wisconsin,68097,3/19/2023,1,83,Platinum,Credit Card,2231.5,381.2,223.15,2073.45
52,Donna Vega,Female,61,kjennings@example.com,-6635,"8350 Richard Corners Suite 996
Lake Adam, TN 18376",Parkerside,Ohio,9157,4/4/2020,3,78,Platinum,Creadit Card,944.3,132.91,94.43,905.82
21,Heather Savage,Female,65,caitlinjohnson@example.com,585-318-3216x4482,"447 Carroll Dam Apt. 116
Garzaberg, OH 88090",Michaelfort,West Virginia,54909,6/12/2021,2,94,Platinum,Credit Card,1820.17,135.92,182.02,1866.27
54,Adrian Barnes DDS,Female,19,christopher03@example.net,9986527419,"6853 Walls Cape
West Courtney, OK 64076",New Timothymouth,Missouri,96073,10/19/2019,2,15,Platinum,Credit Card,1647.88,343.01,164.79,1469.66
55,Matthew Hayden,Female,48,nicolewilson@example.com,504.246.1545,"70452 Forbes Courts
Mosesland, KS 75278",New Charlesshire,Florida,64106,11/20/2019,1,67,Bronze,Creadit Card,3964.11,878.8,396.41,3481.72
21,Heather Savage,Female,65,caitlinjohnson@example.com,585-318-3216x4482,"447 Carroll Dam Apt. 116
Garzaberg, OH 88090",Michaelfort,West Virginia,54909,6/12/2021,1,29,Bronze,Credit Card,1701.38,410.08,170.14,1461.44
57,Justin Zimmerman,Female,20,heatherhayden@example.com,597.952.4583,"8015 Brennan Tunnel
Austintown, LA 15529",Lake Joshua,Illinois,67702,4/23/2024,2,45,Gold,Credit Card,53.6,6.3,5.36,52.66
58,Ann Shaw,Male,28,lmartinez@example.com,624-236-4000x41558,"824 Kristi Manor
Brandiview, MD 70335",Prestonville,Nevada,49583,1/12/2021,2,67,Silver,Debit Card,4718.61,1117.5,471.86,4072.97
59,Michael Woods,Female,19,allenkyle@example.org,(970)658-6183,"0285 John Forges Suite 228
Amyburgh, IN 95104",Schaeferburgh,Kansas,99887,5/9/2024,4,17,Platinum,Credit Card,1170.81,207.39,117.08,1080.5
60,Lauren Jackson,Female,28,alexandriaschroeder@example.net,001-907-330-6268x6368,"010 Julie Mission
Tracistad, TN 52444",Jessicaburgh,Pennsylvania,32308,5/18/2021,2,6,Gold,Debit Card,859.93,115.36,85.99,830.56
61,Amy Lamb,Female,54,twright@example.net,(798)640-9255,"07396 Wells Mill Apt. 745
Melissafurt, MO 76359",Dominguezhaven,Maryland,88919,5/24/2024,2,31,Platinum,Credit Card,852.6,142.15,85.26,795.71
51,Andrew Berg,Male,40,katiemcdonald@example.net,567.732.6058,"97939 Johnson Oval Suite 830
North Dennismouth, VI 88870",Lake Gabrielle,Wisconsin,68097,3/19/2023,4,25,Silver,Debit Card,146.57,31.49,14.66,129.74
63,Derek Jackson,Male,20,lindseyholmes@example.net,001-287-554-6478x03471,"32925 Smith Shoals Apt. 092
Suzannebury, MO 66011",Micheleland,Pennsylvania,57115,7/28/2020,1,90,Bronze,Debit Card,3902.71,720.9,390.27,3572.08
30,Eric Banks,Male,19,areyes@example.com,-2357,"53230 Julia Villages
Lake Christian, VI 78866",New Courtneyberg,South Carolina,79402,12/7/2019,1,4,Platinum,Creadit Card,2861.82,535.98,286.18,2612.02
65,Alexis Schmidt,Male,26,joanna63@example.com,(527)229-9869,"281 Collins Roads
Lake Bryan, DC 41935",Toddfort,Rhode Island,43831,11/19/2021,3,83,Silver,Creadit Card,411.59,54.15,41.16,398.6
66,Robert Moore,Female,24,huntangelica@example.com,+1-676-329-6219x127,"4158 Alan Rest Apt. 216
Bowersfort, FM 04046",Crystalberg,Colorado,92631,12/5/2022,4,83,Platinum,Debit Card,2382.11,226.32,238.21,2394
67,Victoria Williams,Female,33,bmelendez@example.org,+1-462-584-6680x782,"97444 Richard Branch
New Kimland, FM 01845",Ericberg,Wisconsin,66994,9/26/2020,4,15,Platinum,Credit Card,4186.13,1044.83,418.61,3559.91
68,Abigail Hoover,Female,52,markpotter@example.org,(934)875-7788x115,"681 Douglas Locks Suite 212
North Patrick, OK 15689",New Josephport,Minnesota,87742,8/25/2023,1,52,Platinum,Debit Card,1417.6,244.1,141.76,1315.26
69,Emma Caldwell,Female,58,ohunt@example.net,9653580391,"088 Terri Port
Bernardstad, HI 45184",Toddchester,Alabama,85421,8/7/2021,1,84,Bronze,Debit Card,3581.71,198.28,358.17,3741.6
70,Natalie Eaton,Female,64,sandrajuarez@example.com,726.749.7307x99297,"Unit 9286 Box 6356
DPO AA 32039",West Sydney,Ohio,77460,10/3/2022,4,59,Platinum,Credit Card,3580.32,611.65,358.03,3326.7
71,George Schultz,Male,28,john48@example.org,-4262,"6483 Anthony Island
North Jamesborough, PA 21938",Millerhaven,Maine,90761,9/24/2023,3,54,Platinum,Creadit Card,837.1,195.62,83.71,725.19
72,Sarah Newton,Female,66,hbrown@example.org,324-298-7486x75311,"919 Andrew Turnpike Apt. 419
Mckinneyshire, RI 70128",West Kenneth,Idaho,77882,7/7/2021,5,18,Bronze,PayPal,1759.83,309.24,175.98,1626.57
73,Darryl Crawford,Female,58,dustin94@example.org,926-423-9058,"94930 Madison Streets Apt. 622
Ryanhaven, MD 29335",South Leslie,New Hampshire,30836,12/7/2021,5,87,Bronze,Debit Card,4391.84,445.89,439.18,4385.13
74,Ashlee Henry,Female,36,amanda43@example.com,-3304,"832 Joseph Islands Suite 805
Fitzgeraldfurt, OH 16998",Lake Austin,South Carolina,58654,12/25/2023,4,98,Bronze,PayPal,2779.6,158.38,277.96,2899.18
75,Jennifer Harrison,Female,35,gfritz@example.net,(318)572-0333x1966,"1318 Cassandra Plaza
Burkeview, TX 62280",West Michaelborough,Vermont,84976,11/20/2019,4,26,Silver,PayPal,714.11,51.46,71.41,734.06
76,Joseph Lewis,Female,28,thomasshawn@example.org,+1-344-565-4191x759,"07428 Stevenson Drive Apt. 855
West Rebeccaborough, ID 39192",Curtisfurt,Montana,5151,10/21/2020,1,57,Platinum,Creadit Card,2344.42,418.2,234.44,2160.66
77,Mark Moore,Male,67,mariaburns@example.org,001-929-864-3122,"USS Evans
FPO AA 75591",Lake Michaelville,Connecticut,65286,9/6/2021,4,67,Silver,Debit Card,807.19,66.91,80.72,821
78,Scott Sutton,Male,51,owensjordan@example.net,586-423-1982x730,"299 Carlos Harbors
West Cindyshire, WI 34313",Braunland,Georgia,59681,2/3/2020,2,45,Platinum,PayPal,4504.3,786.77,450.43,4167.96
79,Mark Myers,Female,63,terrelldenise@example.org,001-419-723-8375x04698,"41743 Berger Inlet Apt. 527
South Tammymouth, AR 83278",Williamchester,New Jersey,80623,6/6/2024,3,96,Bronze,Creadit Card,3878.43,396.97,387.84,3869.3
80,Caitlin Smith,Male,39,francojean@example.org,674.386.2974x2035,"5935 Chan Crossroad Apt. 357
Thompsonstad, NE 57695",Diazville,Colorado,73591,6/11/2023,5,17,Gold,Debit Card,4565.23,1127.2,456.52,3894.55
81,Travis Warren,Female,33,ppena@example.com,+1-216-404-9244x8185,"7335 Green Extension Suite 601
North Markborough, ME 71905",New Kimberlyland,Connecticut,71903,1/17/2022,4,95,Gold,Creadit Card,4746.13,722.88,474.61,4497.86
82,Thomas Rodriguez,Female,44,seanmartin@example.com,001-827-590-8601x141,"79885 Ronald Valley Apt. 969
West Michael, MD 62485",Gilmoreview,Minnesota,36259,12/25/2020,1,24,Silver,Debit Card,74.34,12.57,7.43,69.2
83,Stephanie Morris,Male,62,watsonchristy@example.net,230-917-8236x9582,"5039 Carlos Curve Apt. 886
Jaredchester, AK 71876",Lovemouth,West Virginia,877,4/10/2021,2,79,Bronze,PayPal,3458.29,597.8,345.83,3206.32
84,Phillip Clay,Female,23,gcole@example.net,210-815-6663x4768,"66699 Harrison Land Suite 692
Benjaminmouth, NV 41180",Lake Jeremymouth,Iowa,49880,10/18/2019,1,80,Bronze,Credit Card,4467.44,953.68,446.74,3960.5
85,Clayton Macdonald,Female,38,parsonsgregory@example.net,8329086624,"72117 Gross Inlet
Petershire, GU 35523",Kathleenland,Arkansas,85806,2/2/2022,1,29,Platinum,PayPal,2942.05,296.49,294.21,2939.77
86,Jordan Parker,Female,69,nicholasjones@example.org,2154044000,"1920 Laura Club
New Kimberlyville, ID 13622",Reynoldsville,New Mexico,94561,5/20/2023,2,65,Silver,Credit Card,3913.57,593.29,391.36,3711.64
87,Carol Garcia,Male,19,jessica68@example.org,780-883-1658,"PSC 3912, Box 9654
APO AA 66745",Andrewtown,Georgia,34291,5/16/2021,2,84,Platinum,Debit Card,2219.02,414.37,221.9,2026.55
88,Charlotte Poole,Female,19,restrada@example.com,(402)655-3187,"356 Susan Trail
Grantton, SC 44018",South Arthur,Wisconsin,55699,2/28/2024,5,35,Silver,Creadit Card,898.11,124.11,89.81,863.81
89,Caitlin Green,Male,42,jennifer56@example.org,001-343-824-5812x73999,"0092 Jackson Lodge
New Amy, ID 04639",South Nancy,Texas,59436,6/10/2022,1,45,Platinum,PayPal,1203.82,270.48,120.38,1053.72
90,Raymond Smith,Male,48,jacob36@example.net,8399766226,"1290 Bartlett Summit
North Wendy, KS 23618",Scottchester,Massachusetts,71080,3/15/2023,5,63,Bronze,PayPal,4174.14,618.01,417.41,3973.54
91,David Edwards,Female,48,jennifer69@example.net,2788836460,"007 Vaughan Keys Suite 878
Laneshire, WV 03776",Jasonchester,California,29232,6/2/2020,3,22,Silver,Debit Card,2727.95,223.44,272.8,2777.31
92,Jody Anderson,Male,47,cstewart@example.net,(674)875-8305,"2822 Sarah Fields
North Tracyland, OK 69122",East Courtneyshire,Florida,74314,10/15/2021,1,11,Bronze,Creadit Card,1996.56,480.39,199.66,1715.83
93,Thomas Macias,Male,34,brad11@example.net,+1-614-949-5207x66316,"2636 Joseph Valleys Apt. 755
Laurenmouth, MA 32750",South Theresa,Virginia,45046,6/15/2021,4,64,Silver,Credit Card,1518.63,185.11,151.86,1485.38
94,Joshua Munoz,Male,26,grant52@example.com,(411)465-5450x342,"84106 Peter Oval
Lake Donald, PW 15317",Lake David,Montana,80128,5/22/2020,1,37,Silver,Debit Card,84.92,18.89,8.49,74.52
95,Kevin Robinson,Female,63,megan62@example.net,945.326.4221x385,"7025 Victor Fort Apt. 276
West Karenville, MD 18062",East Christina,Massachusetts,87050,10/25/2023,1,44,Platinum,PayPal,4379.79,519.48,437.98,4298.29
96,Marcia Olson,Male,61,kim09@example.net,+1-924-838-8147x210,"535 Thomas Stravenue Apt. 720
New Melissaberg, WV 14838",West Rebeccaborough,Wyoming,8720,12/31/2019,1,98,Silver,Debit Card,2513.82,620.53,251.38,2144.67
97,Christopher Glover,Female,32,hdowns@example.net,+1-556-336-0939x07062,"4475 Henry Valleys
Zacharyport, NV 70521",Richardmouth,Montana,99554,12/22/2021,1,90,Platinum,PayPal,4737.18,719.08,473.72,4491.82
98,Ryan Reeves,Female,23,richard22@example.com,429.931.4882,"2108 Jacqueline Course
New Derrickshire, IL 85185",Michaelville,Missouri,64502,8/29/2020,1,43,Gold,Creadit Card,1169.97,144.49,117,1142.48
99,Kelly Lawson,Female,66,gmorrison@example.org,(813)222-4452x75811,"3569 Mark Orchard Suite 436
West Martinland, OH 36687",Smithburgh,Georgia,96788,5/3/2024,2,73,Silver,PayPal,4682.67,929.41,468.27,4221.53
100,Patrick Kirk,Female,60,moodylori@example.com,440.960.7124x549,"526 Kenneth Fall
North Robert, WV 67600",Kaneside,Tennessee,18675,3/2/2023,3,44,Gold,Creadit Card,3081.46,666.31,308.15,2723.3
101,Timothy Ward,Male,43,lisadavis@example.org,673.906.5459,"PSC 0476, Box 3708
APO AP 96145",Rittermouth,Indiana,74257,7/23/2022,3,38,Platinum,Debit Card,3298.1,411.56,329.81,3216.35
102,Cassandra Moran,Female,45,lisaarroyo@example.com,001-362-344-9260x1266,"135 Galloway Stravenue
Port Gavinburgh, WI 79877",Port Susanview,Indiana,70837,2/10/2020,3,64,Gold,Creadit Card,3848.25,742.23,384.83,3490.85
103,Matthew Wheeler,Female,24,travisbarrett@example.net,699-212-5809x5483,"54514 Michael Stream Apt. 960
Hallchester, OK 61452",Lisaburgh,Vermont,75591,6/16/2023,4,69,Gold,Credit Card,2257.64,268.21,225.76,2215.19
104,Ricardo Barnett,Male,65,andersonpatrick@example.org,001-838-510-0664x2605,"PSC 5930, Box 6780
APO AE 44841",Lunashire,Illinois,28335,11/23/2019,2,26,Gold,Creadit Card,1182.05,220.12,118.2,1080.13
105,Peter Rivera,Female,47,laura29@example.net,(940)761-9726x36628,"PSC 9833, Box 8673
APO AP 96032",New Danielburgh,Maryland,4193,4/22/2022,5,15,Platinum,Debit Card,3394.36,510.66,339.44,3223.14
74,Ashlee Henry,Female,36,amanda43@example.com,-3304,"832 Joseph Islands Suite 805
Fitzgeraldfurt, OH 16998",Lake Austin,South Carolina,58654,12/25/2023,2,17,Gold,Credit Card,504.88,57.27,50.49,498.1
107,Marcia Rice,Male,70,amyscott@example.com,(508)637-9460,"475 Brown Greens
West Justinmouth, IN 32113",East Gina,Delaware,70615,9/24/2021,4,86,Bronze,Credit Card,2062.19,211.77,206.22,2056.64
108,Tyrone Mckee,Female,29,wileyelizabeth@example.net,(314)638-4118x68522,"74389 Chris Union Apt. 564
Sarahville, WY 18910",Montoyastad,North Carolina,17497,2/15/2020,1,99,Silver,PayPal,189.9,45.69,18.99,163.2
109,Randall Flores,Male,42,timothy40@example.com,001-617-292-1163x416,"685 Paige Gardens Apt. 118
West Michael, NY 32771",Watersburgh,Michigan,24275,10/11/2019,5,43,Bronze,Debit Card,626.63,107.11,62.66,582.18
110,Jose Obrien,Male,23,curtismcgee@example.net,578-297-4591,"8539 Green Tunnel Apt. 720
South Sarahview, WV 44380",Scottmouth,Washington,42613,8/27/2021,4,46,Silver,Credit Card,2625.09,457.5,262.51,2430.1
111,Vanessa Browning,Female,22,zharris@example.net,001-284-869-0815,"84353 Kathryn Shores
Stewartport, AK 09015",Hillfurt,Indiana,21528,6/12/2023,5,2,Silver,Debit Card,1173.4,156.16,117.34,1134.58
112,Aaron Armstrong,Female,69,daviskatrina@example.net,937.244.9585,"12109 Brittany Stream
Chavezmouth, MO 02344",Jacquelineborough,Florida,80535,2/20/2022,1,71,Platinum,Debit Card,1937.16,393.38,193.72,1737.5
113,James Boyd,Female,19,ellisashley@example.com,684-715-9484x771,"0159 Angela Ports Apt. 004
Rodrigueztown, NM 97594",West Meredith,North Carolina,40003,11/2/2021,5,26,Gold,PayPal,4144.04,768.45,414.4,3789.99
114,Jennifer Griffin,Male,56,aparker@example.net,001-599-441-5126x74549,"4711 Angela Trail Suite 555
South Ellenburgh, LA 62907",New Williammouth,Louisiana,99832,4/24/2022,5,10,Bronze,PayPal,4728.69,912.49,472.87,4289.07
115,Mrs. Alicia Cole,Female,19,michaelgilbert@example.net,870-272-3531x067,"4327 Heather Street
Hoffmanview, CT 18481",North Jonathanhaven,Texas,76656,1/6/2022,2,9,Silver,Creadit Card,1075.09,263.58,107.51,919.02
116,Kevin Baker,Female,30,brandonmeyer@example.com,506.950.8318x30852,"74205 Sweeney Street Suite 436
North Micheleville, DC 78957",Patriciaburgh,Alaska,5950,2/18/2024,4,21,Bronze,Credit Card,3480.97,504.47,348.1,3324.6
77,Mark Moore,Male,67,mariaburns@example.org,001-929-864-3122,"USS Evans
FPO AA 75591",Lake Michaelville,Connecticut,65286,9/6/2021,4,75,Platinum,Debit Card,2301.77,271.52,230.18,2260.43
65,Alexis Schmidt,Male,26,joanna63@example.com,(527)229-9869,"281 Collins Roads
Lake Bryan, DC 41935",Toddfort,Rhode Island,43831,11/19/2021,3,20,Platinum,Credit Card,2846.67,333.4,284.67,2797.94
119,Chris Lopez,Male,47,ssmith@example.com,001-890-539-0555x19551,"38292 Lucas Prairie Apt. 925
Taylormouth, HI 52268",Wardmouth,Georgia,34506,2/12/2021,2,44,Gold,Creadit Card,3887.34,513.35,388.73,3762.72
